aluno_anon,opcao,unidade,situacao,data_criacao
aluno_0000022,1,10011,Selecionado,2024-12-17 08:19:10.23
aluno_0000164,1,0515602,Selecionado da lista,2024-12-13 11:09:15.757
aluno_0000955,1,10074,Selecionado,2024-12-13 09:14:15.47
aluno_0001054,1,07037,Selecionado da lista,2025-08-25 16:04:24.537
aluno_0001236,5,04041,Selecionado,2024-12-13 09:08:11.3
aluno_0002172,1,07036,Selecionado da lista,2025-11-18 12:47:38.177
aluno_0002433,2,0328801,Selecionado da lista,2024-12-13 08:59:42.15
aluno_0002728,2,10074,Selecionado,2024-12-16 14:51:14.55
aluno_0002949,1,08016,Selecionado da lista,2024-12-13 09:08:54.32
aluno_0002999,1,10074,Selecionado,2024-12-13 09:07:10.963
aluno_0003411,1,0410801,Selecionado da lista,2024-12-13 09:09:48.85
aluno_0004176,1,04036,Selecionado,2024-12-13 09:07:26.31
aluno_0004245,1,10074,Selecionado,2024-12-17 11:13:02.993
aluno_0004655,1,10074,Selecionado,2024-12-13 09:06:56.113
aluno_0005098,3,10074,Selecionado,2024-12-13 16:01:21.167
aluno_0005290,1,07037,Selecionado da lista,2025-09-01 14:02:05.363
aluno_0006362,2,10074,Selecionado,2024-12-17 09:22:46.207
aluno_0006424,1,10074,Selecionado,2024-12-17 11:13:03.387
aluno_0006976,1,04024,Selecionado da lista,2025-05-29 13:27:17.257
aluno_0007033,1,10074,Selecionado,2024-12-17 11:13:03.653
aluno_0007041,1,0312801,Selecionado da lista,2024-12-16 22:27:44.567
aluno_0007344,2,03030,Selecionado,2024-12-16 16:00:47.42
aluno_0007740,1,08016,Selecionado da lista,2024-12-16 16:41:09.72
aluno_0008015,1,10059,Selecionado,2025-03-08 10:14:41.86
aluno_0008098,1,0410801,Selecionado da lista,2024-12-16 22:52:47.343
aluno_0008364,1,10074,Selecionado,2024-12-17 11:13:02.573
aluno_0008465,1,03030,Selecionado,2024-12-16 16:00:48.917
aluno_0008648,5,0312801,Selecionado da lista,2024-12-16 22:24:19.467
aluno_0008986,5,0312801,Selecionado da lista,2024-12-16 22:24:21.82
aluno_0009912,1,0410801,Selecionado da lista,2024-12-16 15:49:45.2
aluno_0010157,1,10011,Selecionado,2024-12-17 08:19:09.713
aluno_0010274,2,10074,Selecionado,2024-12-13 16:01:14.303
aluno_0010464,4,08016,Selecionado da lista,2024-12-16 16:41:15.473
aluno_0010623,2,0430815,Selecionado da lista,2024-12-13 09:09:35.557
aluno_0011310,1,06017,Selecionado da lista,2024-12-13 14:06:43.467
aluno_0011779,1,10074,Selecionado,2024-12-17 11:13:06.897
aluno_0012055,1,10008,Selecionado,2025-08-11 12:59:53.61
aluno_0012215,1,0410801,Selecionado da lista,2024-12-16 08:37:37.117
aluno_0012372,2,0716818,Selecionado da lista,2024-12-13 08:13:48.137
aluno_0013107,1,0410801,Selecionado da lista,2024-12-13 08:16:16.57
aluno_0013180,1,10027,Selecionado da lista,2025-05-23 14:25:18.897
aluno_0013503,1,0410801,Selecionado da lista,2024-12-13 08:16:44.547
aluno_0014203,1,0410801,Selecionado da lista,2024-12-13 08:14:31.627
aluno_0014469,1,0410801,Selecionado da lista,2024-12-13 08:14:59.19
aluno_0014610,1,0410801,Selecionado da lista,2024-12-13 08:13:52.087
aluno_0015078,1,0410801,Selecionado da lista,2024-12-13 08:15:01.253
aluno_0015198,1,06002,Selecionado da lista,2025-05-22 12:47:46.483
aluno_0015671,1,02039,Selecionado,2024-12-11 09:08:20.533
aluno_0015709,1,10027,Selecionado da lista,2025-05-28 10:29:59.997
aluno_0017714,1,0430805,Selecionado da lista,2025-05-16 14:37:29.243
aluno_0019177,3,0328601,Selecionado da lista,2024-12-13 11:28:04.633
aluno_0019603,2,0107609,Selecionado da lista,2025-09-15 08:44:05.393
aluno_0059935,1,10085,Selecionado da lista,2025-08-22 14:30:59.613
aluno_0064173,1,04002,Selecionado,2024-12-17 09:02:30.843
aluno_0065303,2,0107606,Selecionado da lista,2024-12-11 10:19:01.78
aluno_0068314,1,04035,Selecionado,2024-12-18 09:53:34.94
aluno_0069748,1,04036,Selecionado,2024-12-11 10:35:59.59
aluno_0071469,3,10014,Selecionado,2024-12-11 10:16:56.613
aluno_0072074,2,0716807,Selecionado da lista,2024-12-11 10:35:06.37
aluno_0072859,1,0918620,Selecionado da lista,2025-10-22 12:12:58.363
aluno_0074355,2,04002,Selecionado,2024-12-13 08:21:14.19
aluno_0077675,3,10051,Selecionado,2024-12-17 08:44:42.577
aluno_0079659,1,09041,Selecionado,2024-12-11 10:17:20.43
aluno_0079765,1,0430809,Selecionado da lista,2024-12-13 08:20:46.34
aluno_0082331,1,04009,Selecionado,2024-12-18 08:59:09.47
aluno_0082657,1,0411607,Selecionado,2024-12-16 23:14:30.593
aluno_0084172,1,10035,Selecionado da lista,2025-10-27 13:53:00.62
aluno_0085567,2,0430805,Selecionado da lista,2025-04-14 11:51:18.203
aluno_0086637,1,0209803,Selecionado,2025-03-20 07:46:25.507
aluno_0088210,5,0724804,Selecionado da lista,2024-12-11 09:46:29.59
aluno_0090258,1,10035,Selecionado da lista,2025-10-27 13:55:51.847
aluno_0090481,1,1026604,Selecionado da lista,2025-11-10 14:38:57.117
aluno_0090524,2,04035,Selecionado,2024-12-11 10:30:59.693
aluno_0092138,1,08013,Selecionado da lista,2025-08-19 09:26:32.133
aluno_0094427,2,10074,Selecionado,2024-12-17 09:22:46.987
aluno_0094745,2,04029,Selecionado,2024-12-16 22:09:42.663
aluno_0094915,1,07041,Selecionado da lista,2024-12-12 08:24:23.097
aluno_0095921,1,04024,Selecionado da lista,2025-08-20 09:47:16.067
aluno_0096712,1,10074,Selecionado,2025-03-19 07:30:18.107
aluno_0098359,1,07037,Selecionado da lista,2025-11-12 10:29:28.96
aluno_0099346,1,02046,Selecionado da lista,2025-03-26 11:28:11.78
aluno_0101631,1,10074,Selecionado,2024-12-13 16:01:24.627
aluno_0103819,1,04041,Selecionado,2025-04-01 14:05:31.887
aluno_0105368,1,0918820,Selecionado,2025-03-26 15:38:50.057
aluno_0105546,1,08016,Selecionado da lista,2025-08-21 12:15:26.813
aluno_0106151,1,07041,Selecionado da lista,2024-12-13 12:07:32.79
aluno_0106433,1,04010,Selecionado,2024-12-18 09:01:28.24
aluno_0106463,1,08011,Selecionado da lista,2025-09-23 14:17:40.12
aluno_0107911,1,03011,Selecionado da lista,2025-11-28 19:39:16.93
aluno_0108508,1,10065,Selecionado da lista,2025-04-09 09:39:26.957
aluno_0109609,2,06005,Selecionado,2024-12-11 10:18:09.553
aluno_0109694,5,07042,Selecionado da lista,2024-12-13 11:18:34.47
aluno_0109912,2,04013,Selecionado da lista,2024-12-12 08:23:39.837
aluno_0111250,1,02049,Selecionado da lista,2025-10-23 14:48:42.94
aluno_0111253,1,02049,Selecionado da lista,2025-10-23 14:54:43.597
aluno_0111373,1,10079,Selecionado,2024-12-17 08:44:45.917
aluno_0111373,5,10065,Selecionado da lista,2024-12-17 08:44:45.917
aluno_0112259,1,0918811,Selecionado,2025-05-27 16:22:48.737
aluno_0113328,1,07037,Selecionado da lista,2025-11-12 16:00:32.22
aluno_0113982,2,07042,Selecionado da lista,2024-12-11 09:39:20.507
aluno_0114031,1,03030,Selecionado,2024-12-16 16:00:50.82
aluno_0114843,1,10065,Selecionado da lista,2025-04-09 09:16:13.557
aluno_0115250,1,07037,Selecionado da lista,2025-08-25 15:58:18.45
aluno_0118081,1,01010,Selecionado da lista,2025-03-13 13:17:09.403
aluno_0118736,1,0734804,Selecionado da lista,2025-08-05 11:41:03.52
aluno_0119177,1,0625604,Selecionado da lista,2025-06-09 10:13:38.07
aluno_0119817,1,08016,Selecionado da lista,2025-11-04 15:41:54.873
aluno_0121549,3,06016,Selecionado da lista,2024-12-17 14:59:33.083
aluno_0121953,1,0430809,Selecionado da lista,2024-12-18 14:19:57.79
aluno_0125766,2,10074,Selecionado,2024-12-11 10:15:46.647
aluno_0125855,1,10065,Selecionado da lista,2025-11-13 12:14:46.59
aluno_0125867,5,09032,Selecionado,2024-12-16 23:18:08.813
aluno_0126033,1,0625604,Selecionado da lista,2025-09-12 14:36:01.393
aluno_0126655,2,03030,Selecionado,2024-12-12 08:24:02.97
aluno_0126705,1,10079,Selecionado,2024-12-13 13:54:52.707
aluno_0128023,4,10074,Selecionado,2024-12-13 10:48:18.387
aluno_0128325,2,10068,Selecionado da lista,2025-08-28 12:56:45.293
aluno_0130970,3,10074,Selecionado,2024-12-16 12:41:12.73
aluno_0132385,1,04035,Selecionado,2024-12-16 08:20:06.883
aluno_0132457,1,04001,Selecionado,2024-12-11 10:26:21.9
aluno_0133024,2,10074,Selecionado,2024-12-17 09:22:46.477
aluno_0133533,3,08016,Selecionado da lista,2024-12-16 16:41:11.293
aluno_0133644,1,07037,Selecionado da lista,2025-08-25 16:12:15.16
aluno_0134458,1,04036,Selecionado,2024-12-17 09:02:29.957
aluno_0134709,1,0312805,Selecionado da lista,2024-12-16 22:25:40.35
aluno_0134709,3,0312801,Selecionado da lista,2024-12-16 22:25:40.35
aluno_0134956,1,07038,Selecionado da lista,2024-12-13 11:51:20.293
aluno_0135025,1,05014,Selecionado da lista,2025-12-03 15:17:24.66
aluno_0135566,1,04035,Selecionado,2024-12-13 09:06:25.703
aluno_0135817,1,10076,Selecionado da lista,2025-11-04 14:25:38.34
aluno_0135936,3,08016,Selecionado da lista,2024-12-16 16:41:00.357
aluno_0136792,1,04035,Selecionado,2024-12-18 09:53:25.237
aluno_0137678,1,04043,Selecionado da lista,2025-10-22 13:32:42.16
aluno_0138050,1,0410801,Selecionado da lista,2024-12-12 16:01:38.82
aluno_0138410,1,03030,Selecionado,2024-12-16 16:00:50.73
aluno_0138556,1,05014,Selecionado da lista,2025-12-03 13:53:28.217
aluno_0138859,1,09032,Selecionado,2024-12-16 23:39:42.407
aluno_0139115,1,10074,Selecionado,2024-12-17 11:13:03.89
aluno_0139228,1,10072,Selecionado,2024-12-11 15:02:52.877
aluno_0139544,1,0410801,Selecionado da lista,2024-12-16 22:52:47.473
aluno_0140868,1,10011,Selecionado,2024-12-17 08:19:10.617
