cep,ordem,esc_codigo,distancia_km,mesma_microarea
00000000,1,716808,0.152,true
00000000,2,716818,0.171,true
00000000,3,716604,0.324,true
00000000,4,7020,0.343,true
00000000,5,716014,0.406,true
00000000,6,7019,0.546,true
00000000,7,7045,0.577,true
00000000,8,716079,0.620,false
00000000,9,716819,0.722,false
00000000,10,716080,0.735,false
02104190,1,430009,0.089,true
02104190,2,430815,0.153,true
02104190,3,430801,0.211,false
02104190,4,4046,0.233,false
02104190,5,4026,0.234,false
02104190,6,430804,0.286,false
02104190,7,430010,0.324,false
02104190,8,4051,0.343,true
02104190,9,430204,0.359,false
02104190,10,430701,0.416,false
02107039,1,411809,0.262,true
02107039,2,4007,0.324,true
02107039,3,411202,0.390,true
02107039,4,411002,0.434,true
02107039,5,411004,0.468,true
02107039,6,411601,0.510,true
02107039,7,411001,0.514,true
02107039,8,4008,0.557,true
02107039,9,410808,0.561,true
02107039,10,411803,0.571,false
02146670,1,430009,0.089,true
02146670,2,430815,0.153,true
02146670,3,430801,0.211,false
02146670,4,4046,0.233,false
02146670,5,4026,0.234,false
02146670,6,430804,0.286,false
02146670,7,430010,0.324,false
02146670,8,4051,0.343,true
02146670,9,430204,0.359,false
02146670,10,430701,0.416,false
02167554,1,622018,0.447,false
02167554,2,622022,0.452,false
02167554,3,622017,0.458,false
02167554,4,622016,0.504,true
02167554,5,6021,0.594,true
02167554,6,6020,0.594,false
02167554,7,622020,0.653,true
02167554,8,6017,0.679,false
02167554,9,622014,0.680,true
02167554,10,622801,0.711,true
02797053,1,9050,0.296,true
02797053,2,918082,0.322,true
02797053,3,918056,0.439,true
02797053,4,9042,0.502,true
02797053,5,918059,0.591,true
02797053,6,918071,0.674,false
02797053,7,918606,0.690,false
02797053,8,918816,0.702,false
02797053,9,918807,0.710,true
02797053,10,918509,0.802,true
03068300,1,9050,0.296,true
03068300,2,918082,0.322,true
03068300,3,918056,0.439,true
03068300,4,9042,0.502,true
03068300,5,918059,0.591,true
03068300,6,918071,0.674,false
03068300,7,918606,0.690,false
03068300,8,918816,0.702,false
03068300,9,918807,0.710,true
03068300,10,918509,0.802,true
04847210,1,1019606,0.093,true
04847210,2,1019033,0.249,true
04847210,3,1019812,0.359,true
04847210,4,1019006,0.577,true
04847210,5,1019034,0.590,true
04847210,6,1019005,0.598,true
04847210,7,1019032,0.611,false
04847210,8,1019814,0.618,true
04847210,9,1019060,0.724,false
04847210,10,10022,0.744,false
05193493,1,724801,0.000,true
05193493,2,724601,0.544,true
05193493,3,724803,0.867,true
05193493,4,7044,0.956,true
05193493,5,724502,0.962,true
05193493,6,724024,1.093,true
05193493,7,724808,1.125,true
05193493,8,7017,2.024,false
05193493,9,724806,2.064,false
05193493,10,724028,2.567,false
07115030,1,625019,0.242,true
07115030,2,625035,0.334,true
07115030,3,625813,0.370,true
07115030,4,625029,0.526,true
07115030,5,625614,0.579,true
07115030,6,625607,0.628,false
07115030,7,625021,0.633,false
07115030,8,625820,0.654,true
07115030,9,625816,0.681,false
07115030,10,625020,0.689,false
08212036,1,515502,0.253,true
08212036,2,515052,0.411,false
08212036,3,515810,0.544,true
08212036,4,515053,0.656,false
08212036,5,515051,0.658,true
08212036,6,515604,0.754,true
08212036,7,5003,0.779,false
08212036,8,515503,0.809,false
08212036,9,515049,0.957,false
08212036,10,515050,0.960,true
09333601,1,1019606,0.093,true
09333601,2,1019033,0.249,true
09333601,3,1019812,0.359,true
09333601,4,1019006,0.577,true
09333601,5,1019034,0.590,true
09333601,6,1019005,0.598,true
09333601,7,1019032,0.611,false
09333601,8,1019814,0.618,true
09333601,9,1019060,0.724,false
09333601,10,10022,0.744,false
10861107,1,312501,0.078,true
10861107,2,312502,0.206,true
10861107,3,312013,0.252,true
10861107,4,312018,0.363,false
10861107,5,312020,0.371,false
10861107,6,312021,0.468,false
10861107,7,312024,0.516,false
10861107,8,312603,0.531,true
10861107,9,312807,0.554,false
10861107,10,312503,0.618,false
12091765,1,918088,0.400,true
12091765,2,9027,0.408,true
12091765,3,9040,0.480,true
12091765,4,918007,0.601,true
12091765,5,9026,0.631,true
12091765,6,918102,0.719,true
12091765,7,918615,0.748,false
12091765,8,918833,0.771,true
12091765,9,9014,0.783,false
12091765,10,918806,0.793,true
12656942,1,101601,0.109,true
12656942,2,101009,0.162,true
12656942,3,101501,0.225,true
12656942,4,101604,0.370,true
12656942,5,101011,0.376,true
12656942,6,101605,0.426,true
12656942,7,101008,0.540,true
12656942,8,101603,0.641,true
12656942,9,101012,0.760,true
12656942,10,101007,0.780,true
13040140,1,9050,0.296,true
13040140,2,918082,0.322,true
13040140,3,918056,0.439,true
13040140,4,9042,0.502,true
13040140,5,918059,0.591,true
13040140,6,918071,0.674,false
13040140,7,918606,0.690,false
13040140,8,918816,0.702,false
13040140,9,918807,0.710,true
13040140,10,918509,0.802,true
13056899,1,5020,0.064,true
13056899,2,515058,0.165,false
13056899,3,515056,0.275,false
13056899,4,515808,0.441,false
13056899,5,515059,0.504,false
13056899,6,515612,0.517,true
13056899,7,515611,0.547,false
13056899,8,515064,0.599,false
13056899,9,515807,0.813,false
13056899,10,515602,0.818,false
13425888,1,103004,0.064,true
13425888,2,1011,0.220,true
13425888,3,103006,0.265,true
13425888,4,103003,0.370,true
13425888,5,103606,0.453,true
13425888,6,103805,0.567,false
13425888,7,1005,0.656,true
13425888,8,103801,0.659,true
13425888,9,103806,0.710,false
13425888,10,103604,0.731,true
13587610,1,1019606,0.093,true
13587610,2,1019033,0.249,true
13587610,3,1019812,0.359,true
13587610,4,1019006,0.577,true
13587610,5,1019034,0.590,true
13587610,6,1019005,0.598,true
13587610,7,1019032,0.611,false
13587610,8,1019814,0.618,true
13587610,9,1019060,0.724,false
13587610,10,10022,0.744,false
13676478,1,123801,0.170,true
13676478,2,123603,0.180,true
13676478,3,1004,0.317,true
13676478,4,123004,0.343,true
13676478,5,103804,0.514,true
13676478,6,103602,0.576,true
13676478,7,204806,0.655,false
13676478,8,103807,0.753,false
13676478,9,103001,0.787,false
13676478,10,2042,0.790,false
13715277,1,107610,0.232,true
13715277,2,107013,0.466,true
13715277,3,107011,0.523,true
13715277,4,107501,0.702,true
13715277,5,313056,0.738,false
13715277,6,313801,0.747,false
13715277,7,107803,0.771,true
13715277,8,1010,0.793,true
13715277,9,107012,0.821,true
13715277,10,107017,0.847,true
13923220,1,625019,0.242,true
13923220,2,625035,0.334,true
13923220,3,625813,0.370,true
13923220,4,625029,0.526,true
13923220,5,625614,0.579,true
13923220,6,625607,0.628,false
13923220,7,625021,0.633,false
13923220,8,625820,0.654,true
13923220,9,625816,0.681,false
13923220,10,625020,0.689,false
16589853,1,1019028,0.261,true
16589853,2,1019023,0.287,true
16589853,3,1019620,0.566,true
16589853,4,1019611,0.570,true
16589853,5,1019007,0.573,false
16589853,6,1019029,0.592,false
16589853,7,1019001,0.658,false
16589853,8,1019810,0.695,true
16589853,9,1019064,0.715,true
16589853,10,10041,0.762,true
16938523,1,1026809,0.545,true
16938523,2,1026803,0.592,true
16938523,3,1026201,0.600,true
16938523,4,10085,1.207,true
16938523,5,1026024,1.218,true
16938523,6,1026807,1.247,true
16938523,7,10089,1.692,true
16938523,8,10083,1.950,false
16938523,9,10005,2.021,false
16938523,10,1026601,2.239,false
17969021,1,625019,0.242,true
17969021,2,625035,0.334,true
17969021,3,625813,0.370,true
17969021,4,625029,0.526,true
17969021,5,625614,0.579,true
17969021,6,625607,0.628,false
17969021,7,625021,0.633,false
17969021,8,625820,0.654,true
17969021,9,625816,0.681,false
17969021,10,625020,0.689,false
19046346,1,1019028,0.261,true
19046346,2,1019023,0.287,true
19046346,3,1019620,0.566,true
19046346,4,1019611,0.570,true
19046346,5,1019007,0.573,false
19046346,6,1019029,0.592,false
19046346,7,1019001,0.658,false
19046346,8,1019810,0.695,true
19046346,9,1019064,0.715,true
19046346,10,10041,0.762,true
20000000,1,103601,0.130,true
20000000,2,103502,0.239,true
20000000,3,103607,0.301,true
20000000,4,102601,0.331,true
20000000,5,103806,0.405,true
20000000,6,103805,0.521,true
20000000,7,103605,0.522,false
20000000,8,1025041,0.546,true
20000000,9,102602,0.690,true
20000000,10,103606,0.733,false
20001000,1,103601,0.130,true
20001000,2,103502,0.239,true
20001000,3,103607,0.301,true
20001000,4,102601,0.331,true
20001000,5,103806,0.405,true
20001000,6,103805,0.521,true
20001000,7,103605,0.522,false
20001000,8,1025041,0.546,true
20001000,9,102602,0.690,true
20001000,10,103606,0.733,false
20008032,1,103601,0.130,true
20008032,2,103502,0.239,true
20008032,3,103607,0.301,true
20008032,4,102601,0.331,true
20008032,5,103806,0.405,true
20008032,6,103805,0.521,true
20008032,7,103605,0.522,false
20008032,8,1025041,0.546,true
20008032,9,102602,0.690,true
20008032,10,103606,0.733,false
20008117,1,103601,0.130,true
20008117,2,103502,0.239,true
20008117,3,103607,0.301,true
20008117,4,102601,0.331,true
20008117,5,103806,0.405,true
20008117,6,103805,0.521,true
20008117,7,103605,0.522,false
20008117,8,1025041,0.546,true
20008117,9,102602,0.690,true
20008117,10,103606,0.733,false
20010010,1,103601,0.130,true
20010010,2,103502,0.239,true
20010010,3,103607,0.301,true
20010010,4,102601,0.331,true
20010010,5,103806,0.405,true
20010010,6,103805,0.521,true
20010010,7,103605,0.522,false
20010010,8,1025041,0.546,true
20010010,9,102602,0.690,true
20010010,10,103606,0.733,false
20010060,1,103601,0.130,true
20010060,2,103502,0.239,true
20010060,3,103607,0.301,true
20010060,4,102601,0.331,true
20010060,5,103806,0.405,true
20010060,6,103805,0.521,true
20010060,7,103605,0.522,false
20010060,8,1025041,0.546,true
20010060,9,102602,0.690,true
20010060,10,103606,0.733,false
20010120,1,103601,0.130,true
20010120,2,103502,0.239,true
20010120,3,103607,0.301,true
20010120,4,102601,0.331,true
20010120,5,103806,0.405,true
20010120,6,103805,0.521,true
20010120,7,103605,0.522,false
20010120,8,1025041,0.546,true
20010120,9,102602,0.690,true
20010120,10,103606,0.733,false
20016100,1,103601,0.130,true
20016100,2,103502,0.239,true
20016100,3,103607,0.301,true
20016100,4,102601,0.331,true
20016100,5,103806,0.405,true
