cep,bairro,latitude,longitude,origem_coord,cod_territ,cre,n_inscricoes
00000000,Gardênia Azul,-22.959059,-43.349903,bairro,7.17,7,24
02104190,Maré,-22.864116,-43.238932,bairro,4.6,4,1
02107039,Penha,-22.841782,-43.283303,bairro,4.16,4,1
02146670,Maré,-22.864116,-43.238932,bairro,4.6,4,5
02167554,Guadalupe,-22.842907,-43.374425,bairro,6.15,6,1
02797053,Campo Grande,-22.897889,-43.563097,bairro,9.8,9,1
03068300,Campo Grande,-22.897889,-43.563097,bairro,9.8,9,1
04847210,Paciência,-22.917252,-43.636426,bairro,10.4,10,5
05193493,Recreio,-23.023984,-43.489959,bairro,7.28,7,4
07115030,Pavuna,-22.814166,-43.361869,bairro,6.5,6,1
08212036,Cascadura,-22.883795,-43.328866,bairro,5.16,5,2
09333601,Paciência,-22.917252,-43.636426,bairro,10.4,10,8
10861107,Del Castilho,-22.877661,-43.274774,bairro,3.14,3,5
12091765,Cosmos,-22.907817,-43.611290,bairro,9.13,9,1
12656942,Caju,-22.879781,-43.223492,bairro,1.1,1,1
13040140,Campo Grande,-22.897889,-43.563097,bairro,9.8,9,1
13056899,Madureira,-22.867698,-43.334127,bairro,5.6,5,1
13425888,Rio Comprido,-22.924233,-43.207988,bairro,1.10,1,1
13587610,Paciência,-22.917252,-43.636426,bairro,10.4,10,1
13676478,Santa Teresa,-22.928754,-43.196354,bairro,1.11,1,1
13715277,Benfica,-22.890770,-43.240562,bairro,1.2,1,1
13923220,Pavuna,-22.814166,-43.361869,bairro,6.5,6,2
16589853,Santa Cruz,-22.917144,-43.677414,bairro,10.12,10,1
16938523,Guaratiba,-22.968848,-43.611609,bairro,10.26,10,1
17969021,Pavuna,-22.814166,-43.361869,bairro,6.5,6,2
19046346,Santa Cruz,-22.917144,-43.677414,bairro,10.12,10,1
20000000,Guaratiba,-22.916111,-43.202086,prefixo3,1.9,1,8
20001000,Caju,-22.916111,-43.202086,prefixo3,1.9,1,1
20008032,Centro,-22.916111,-43.202086,prefixo3,1.9,1,1
20008117,Saúde,-22.916111,-43.202086,prefixo3,1.9,1,2
20010010,Centro,-22.916111,-43.202086,prefixo3,1.9,1,1
20010060,Leme,-22.916111,-43.202086,prefixo3,1.9,1,2
20010120,Centro,-22.916111,-43.202086,prefixo3,1.9,1,5
20016100,Campo Grande,-22.916111,-43.202086,prefixo3,1.9,1,1
20020010,Catete,-22.916111,-43.202086,prefixo3,1.9,1,1
20020063,Inhoiba,-22.916111,-43.202086,prefixo3,1.9,1,1
20021040,Glória,-22.916111,-43.202086,prefixo3,1.9,1,22
20021060,Centro,-22.916111,-43.202086,prefixo3,1.9,1,5
20021080,Centro,-22.916111,-43.202086,prefixo3,1.9,1,20
20021120,Centro,-22.916111,-43.202086,prefixo3,1.9,1,9
20021140,Glória,-22.916111,-43.202086,prefixo3,1.9,1,1
20021180,Centro,-22.916111,-43.202086,prefixo3,1.9,1,27
20021210,Centro,-22.916111,-43.202086,prefixo3,1.9,1,30
20021260,Centro,-22.916111,-43.202086,prefixo3,1.9,1,5
20021270,Centro,-22.916111,-43.202086,prefixo3,1.9,1,50
20022060,Santo Cristo,-22.916111,-43.202086,prefixo3,1.9,1,2
20030015,Centro,-22.916111,-43.202086,prefixo3,1.9,1,4
20030070,Centro,-22.916111,-43.202086,prefixo3,1.9,1,9
20030071,Centro,-22.916111,-43.202086,prefixo3,1.9,1,1
20030088,Tijuca,-22.916111,-43.202086,prefixo3,1.9,1,1
20031007,Centro,-22.916111,-43.202086,prefixo3,1.9,1,3
20031010,Centro,-22.916111,-43.202086,prefixo3,1.9,1,13
20031040,Centro,-22.916111,-43.202086,prefixo3,1.9,1,23
20031050,Centro,-22.916111,-43.202086,prefixo3,1.9,1,1
20031120,Centro,-22.916111,-43.202086,prefixo3,1.9,1,5
20031130,Centro,-22.916111,-43.202086,prefixo3,1.9,1,14
20031144,Centro,-22.916111,-43.202086,prefixo3,1.9,1,3
20031180,Centro,-22.916111,-43.202086,prefixo3,1.9,1,1
20031911,Centro,-22.916111,-43.202086,prefixo3,1.9,1,5
20032021,São Cristóvão,-22.916111,-43.202086,prefixo3,1.9,1,1
20035144,Guaratiba,-22.916111,-43.202086,prefixo3,1.9,1,1
20040003,Centro,-22.916111,-43.202086,prefixo3,1.9,1,5
20040004,Centro,-22.916111,-43.202086,prefixo3,1.9,1,1
