unidade,g,h,capacidade
01006,Berçário,Integral,40
01009,Berçário,Integral,10
0101601,Maternal I,Parcial,35
0101602,Maternal I,Integral,31
0101604,Maternal I,Parcial,31
0101605,Maternal I,Parcial,14
0101802,Berçário,Integral,54
0101802,Maternal II ,Integral,13
0102601,Maternal I,Integral,12
0102803,Maternal II ,Integral,28
0103604,Maternal II ,Integral,3
0103606,Maternal II ,Integral,8
0103805,Berçário,Integral,11
0103807,Berçário,Integral,52
0107602,Maternal II ,Integral,1
0107604,Maternal I,Integral,20
0107605,Berçário,Integral,25
02028,Berçário,Integral,38
02028,Maternal II ,Integral,11
02028,Maternal I,Integral,10
02045,Maternal II ,Integral,8
0204805,Maternal I,Integral,79
02053,Berçário,Integral,36
02057,Maternal II ,Integral,8
0208604,Berçário,Integral,43
0209610,Berçário,Integral,25
0209804,Maternal II ,Integral,9
03003,Maternal I,Integral,84
03005,Maternal II ,Integral,16
03008,Maternal I,Integral,23
03010,Maternal II ,Integral,10
03015,Maternal I,Integral,6
03017,Maternal I,Integral,15
03017,Maternal II ,Integral,6
03026,Maternal I,Integral,45
03032,Maternal II ,Integral,5
03036,Berçário,Integral,62
03038,Maternal II ,Integral,14
03040,Berçário,Integral,23
03040,Maternal I,Integral,10
0312601,Berçário,Integral,56
0312601,Maternal I,Integral,19
0312602,Maternal I,Integral,2
0312802,Maternal II ,Integral,24
0312813,Maternal I,Integral,18
0313607,Berçário,Integral,38
0313609,Maternal I,Integral,11
0313610,Berçário,Integral,31
0313611,Maternal I,Integral,11
0328602,Maternal I,Integral,4
0330602,Maternal I,Integral,20
04001,Maternal II ,Integral,6
04003,Berçário,Integral,39
04006,Maternal I,Integral,12
04008,Maternal I,Integral,37
04010,Maternal I,Integral,69
04013,Maternal I,Integral,41
04021,Maternal I,Integral,45
04029,Maternal I,Integral,18
04030,Berçário,Integral,98
04032,Maternal I,Integral,8
04035,Maternal I,Integral,15
04041,Maternal I,Integral,2
04042,Maternal I,Integral,48
04046,Berçário,Integral,13
0410602,Maternal II ,Integral,21
0410603,Maternal I,Integral,23
0410808,Maternal II ,Integral,8
0411601,Maternal I,Integral,4
0411602,Berçário,Integral,24
0411603,Maternal I,Integral,12
0411802,Maternal II ,Integral,3
0430809,Berçário,Integral,25
0430810,Maternal I,Integral,60
0431602,Maternal II ,Integral,8
0431802,Maternal II ,Integral,11
05003,Maternal I,Integral,35
05005,Maternal II ,Integral,5
05006,Berçário,Integral,65
05007,Maternal I,Integral,19
05010,Berçário,Integral,213
05014,Maternal II ,Integral,41
05015,Maternal II ,Integral,21
05015,Berçário,Integral,37
0514605,Berçário,Integral,49
0514801,Maternal I,Integral,45
0514803,Maternal II ,Parcial,50
0515021,Maternal II ,Parcial,51
0515602,Berçário,Integral,49
0515606,Berçário,Integral,30
0515606,Maternal II ,Integral,15
0515611,Maternal I,Integral,33
0515612,Maternal II ,Integral,8
06009,Maternal I,Integral,158
06013,Maternal II ,Integral,21
06015,Maternal II ,Integral,43
0622601,Maternal II ,Integral,29
0622602,Berçário,Integral,29
0622810,Maternal II ,Parcial,50
0625601,Berçário,Integral,28
0625601,Maternal I,Parcial,1
0625603,Berçário,Integral,37
0625607,Maternal I,Integral,30
0625802,Maternal I,Integral,25
0625818,Maternal I,Integral,1
07003,Berçário,Integral,76
07014,Berçário,Integral,27
07017,Maternal I,Integral,34
07034,Maternal I,Integral,11
07035,Maternal I,Integral,91
07036,Maternal I,Integral,35
07038,Maternal II ,Integral,28
07039,Maternal I,Integral,61
07039,Maternal II ,Integral,15
07040,Maternal II ,Integral,22
07045,Maternal II ,Integral,23
0716604,Maternal I,Integral,12
0716612,Maternal II ,Integral,5
0716801,Maternal I,Integral,27
0716807,Berçário,Integral,62
0716808,Maternal II ,Integral,10
0716812,Berçário,Integral,23
0716818,Maternal I,Integral,3
0716824,Maternal II ,Integral,34
0724601,Berçário,Integral,78
0724605,Maternal I,Integral,28
0724605,Maternal II ,Integral,8
0724802,Maternal II ,Integral,15
0724803,Maternal II ,Integral,27
0734805,Maternal II ,Integral,6
08006,Maternal II ,Integral,18
08007,Maternal I,Integral,19
08008,Maternal II ,Integral,42
0817504,Maternal II ,Integral,40
0817603,Maternal II ,Integral,11
0817605,Maternal I,Integral,16
0817605,Maternal II ,Integral,15
0817605,Berçário,Parcial,49
0817611,Maternal I,Integral,41
0817615,Berçário,Integral,30
0817806,Maternal II ,Parcial,7
0833603,Berçário,Integral,89
0833803,Maternal I,Integral,45
0833807,Maternal II ,Integral,24
0833809,Maternal I,Integral,19
0833811,Maternal I,Integral,50
09001,Maternal II ,Integral,8
09003,Maternal II ,Integral,5
09009,Maternal II ,Integral,6
09014,Berçário,Integral,13
09014,Maternal II ,Integral,23
09025,Berçário,Integral,21
09028,Maternal I,Integral,36
09030,Maternal II ,Integral,20
09032,Maternal II ,Integral,1
09037,Maternal I,Integral,25
09040,Berçário,Integral,21
09042,Maternal II ,Integral,4
0918605,Maternal I,Integral,43
0918605,Maternal II ,Integral,7
0918607,Maternal I,Integral,15
0918615,Maternal I,Integral,44
0918620,Berçário,Parcial,33
0918621,Maternal II ,Integral,2
0918805,Maternal II ,Integral,20
0918805,Maternal I,Integral,22
0918806,Maternal II ,Parcial,3
0918807,Maternal I,Integral,18
0918808,Maternal II ,Integral,23
0918813,Berçário,Integral,53
0918815,Maternal I,Parcial,11
0918816,Maternal I,Integral,14
0918817,Berçário,Parcial,62
0918822,Berçário,Parcial,28
0918824,Maternal II ,Integral,3
0918824,Berçário,Integral,29
0918825,Maternal II ,Integral,3
0918835,Maternal I,Integral,20
0918835,Maternal II ,Integral,30
0918836,Berçário,Integral,49
0918838,Maternal I,Parcial,49
10005,Maternal I,Integral,12
10008,Berçário,Integral,23
10018,Berçário,Integral,128
10018,Maternal II ,Integral,21
10023,Berçário,Integral,20
10039,Maternal II ,Integral,14
10040,Maternal I,Integral,30
10041,Berçário,Integral,64
10042,Maternal II ,Integral,6
10043,Berçário,Integral,28
10052,Maternal II ,Integral,15
10062,Maternal I,Integral,6
10073,Berçário,Integral,20
10079,Maternal I,Integral,11
10080,Maternal II ,Integral,23
10084,Maternal II ,Integral,15
10085,Maternal II ,Integral,5
1019606,Maternal I,Parcial,60
1019616,Maternal I,Integral,39
1019621,Maternal I,Integral,19
1019628,Berçário,Integral,19
1019801,Maternal II ,Integral,32
1019801,Berçário,Integral,24
1019824,Maternal II ,Integral,18
1019826,Maternal II ,Integral,15
1019831,Maternal II ,Integral,33
1026601,Maternal I,Parcial,10
1026806,Maternal I,Integral,30
1026809,Maternal II ,Integral,12
1026810,Berçário,Integral,35
11008,Maternal II ,Integral,34
1120602,Berçário,Integral,18
1120606,Maternal II ,Integral,8
1120801,Berçário,Integral,26
0102605,Maternal II ,Integral,3
02014,Maternal I,Integral,6
02035,Maternal I,Integral,6
02043,Maternal II ,Integral,5
0204806,Maternal I,Integral,7
0208601,Maternal II ,Integral,3
03029,Maternal I,Integral,14
0312809,Maternal II ,Integral,4
0312810,Maternal II ,Integral,1
0313601,Maternal I,Integral,2
0313604,Maternal II ,Integral,4
0313805,Maternal II ,Integral,4
0328602,Maternal II ,Integral,5
04005,Maternal II ,Integral,15
0430605,Maternal I,Integral,23
0430801,Maternal I,Integral,3
0514605,Maternal II ,Integral,6
0515808,Maternal I,Integral,8
06001,Maternal II ,Integral,6
06006,Maternal I,Integral,21
0625803,Maternal I,Integral,1
07007,Maternal II ,Integral,5
0716614,Maternal I,Integral,4
0716818,Maternal II ,Integral,4
0716820,Maternal II ,Integral,9
08009,Maternal II ,Integral,1
0817615,Maternal II ,Integral,7
0817801,Maternal II ,Integral,5
0918619,Maternal II ,Integral,11
0918811,Maternal I,Parcial,5
0918813,Maternal II ,Integral,13
0918820,Maternal I,Integral,12
0918823,Maternal II ,Integral,5
0918826,Maternal II ,Parcial,4
10001,Maternal II ,Integral,11
10068,Maternal II ,Integral,16
1019809,Maternal II ,Integral,6
1026807,Maternal I,Integral,6
01005,Maternal I,Integral,11
0107605,Maternal I,Integral,2
02052,Maternal II ,Integral,4
0208603,Maternal II ,Integral,3
04049,Maternal I,Integral,6
0431603,Maternal II ,Integral,2
0625611,Maternal II ,Integral,7
