unidade,g,h,ociosas
0101603,Berçário,Integral,1
0101605,Berçário,Integral,9
0101607,Berçário,Integral,7
0101802,Berçário,Integral,9
0102601,Berçário,Integral,0
0102602,Berçário,Integral,0
0102604,Berçário,Integral,0
0102605,Berçário,Integral,5
0102606,Berçário,Integral,2
0103602,Berçário,Integral,5
0103604,Berçário,Integral,1
0103605,Berçário,Integral,2
0103606,Berçário,Integral,23
0103801,Berçário,Integral,0
0103804,Berçário,Integral,3
0103805,Berçário,Integral,13
0103807,Berçário,Integral,0
0107602,Berçário,Integral,6
0107603,Berçário,Integral,2
0107604,Berçário,Integral,0
0107605,Berçário,Integral,1
0107607,Berçário,Integral,0
0107610,Berçário,Integral,0
0121001,Berçário,Integral,5
0123601,Berçário,Integral,10
0123603,Berçário,Integral,0
0204601,Berçário,Integral,14
0204602,Berçário,Integral,2
0204806,Berçário,Integral,2
0205601,Berçário,Integral,6
0205602,Berçário,Integral,15
0205801,Berçário,Integral,11
0206601,Berçário,Integral,0
0206602,Berçário,Integral,0
0206603,Berçário,Integral,3
0206605,Berçário,Integral,14
0206606,Berçário,Integral,9
0208601,Berçário,Integral,20
0208603,Berçário,Integral,0
0208604,Berçário,Integral,7
0208605,Berçário,Integral,15
0208606,Berçário,Integral,9
0208607,Berçário,Integral,3
0208608,Berçário,Integral,1
0208801,Berçário,Integral,2
0209601,Berçário,Integral,61
0209602,Berçário,Integral,14
0209603,Berçário,Integral,7
0209604,Berçário,Integral,7
0209605,Berçário,Integral,25
0209606,Berçário,Integral,7
0209607,Berçário,Integral,11
0209608,Berçário,Integral,15
0209609,Berçário,Integral,8
0209610,Berçário,Integral,2
0227801,Berçário,Integral,2
0312502,Berçário,Integral,12
0312601,Berçário,Integral,1
0312602,Berçário,Integral,0
0312603,Berçário,Integral,2
0312801,Berçário,Integral,0
0312804,Berçário,Integral,5
0312805,Berçário,Integral,0
0312806,Berçário,Integral,0
0312809,Berçário,Integral,1
0312812,Berçário,Integral,13
0312813,Berçário,Integral,6
0313601,Berçário,Integral,0
0313602,Berçário,Integral,2
0313603,Berçário,Integral,8
0313604,Berçário,Integral,0
0313606,Berçário,Integral,2
0313607,Berçário,Integral,13
0313608,Berçário,Integral,0
0313609,Berçário,Integral,4
0313610,Berçário,Integral,8
0313611,Berçário,Integral,12
0313612,Berçário,Integral,21
0313801,Berçário,Integral,1
0313802,Berçário,Integral,0
0328602,Berçário,Integral,2
0328604,Berçário,Integral,0
0328801,Berçário,Integral,6
0329801,Berçário,Integral,2
0330601,Berçário,Integral,0
0330602,Berçário,Integral,0
0410801,Berçário,Integral,6
0410802,Berçário,Integral,0
0410805,Berçário,Integral,3
0410807,Berçário,Integral,1
0410808,Berçário,Integral,0
0411601,Berçário,Integral,11
0411602,Berçário,Integral,11
0411603,Berçário,Integral,10
0411605,Berçário,Integral,12
0411801,Berçário,Integral,1
0411802,Berçário,Integral,15
0411803,Berçário,Integral,4
0430602,Berçário,Integral,0
0430603,Berçário,Integral,1
0430801,Berçário,Integral,11
0430805,Berçário,Integral,3
0430807,Berçário,Integral,1
0430809,Berçário,Integral,2
0430810,Berçário,Integral,1
0430811,Berçário,Integral,0
0430815,Berçário,Integral,1
0431602,Berçário,Integral,13
0431603,Berçário,Integral,7
0431604,Berçário,Integral,6
0431605,Berçário,Integral,3
0514602,Berçário,Integral,2
0514605,Berçário,Integral,8
0514606,Berçário,Integral,13
0514607,Berçário,Integral,30
0514608,Berçário,Integral,0
0514609,Berçário,Integral,9
0515602,Berçário,Integral,1
0515604,Berçário,Integral,2
0515605,Berçário,Integral,7
0515606,Berçário,Integral,0
0515608,Berçário,Integral,6
0515611,Berçário,Integral,5
0515612,Berçário,Integral,0
0515613,Berçário,Integral,2
0515801,Berçário,Integral,0
0515807,Berçário,Integral,2
0515808,Berçário,Integral,0
0515809,Berçário,Integral,3
0515810,Berçário,Integral,13
0622601,Berçário,Integral,2
0622602,Berçário,Integral,0
0622603,Berçário,Integral,0
0622804,Berçário,Integral,2
0622805,Berçário,Integral,4
0625601,Berçário,Integral,2
0625602,Berçário,Integral,0
0625603,Berçário,Integral,2
0625604,Berçário,Integral,0
0625605,Berçário,Integral,0
0625606,Berçário,Integral,2
0625607,Berçário,Integral,0
0625611,Berçário,Integral,0
0625612,Berçário,Integral,2
0625614,Berçário,Integral,2
0625801,Berçário,Integral,28
0625802,Berçário,Integral,2
0625803,Berçário,Integral,0
0625804,Berçário,Integral,0
0625814,Berçário,Integral,2
0625815,Berçário,Integral,2
0625816,Berçário,Integral,0
0625817,Berçário,Integral,2
0625818,Berçário,Integral,0
0625819,Berçário,Integral,0
0625820,Berçário,Integral,0
0716603,Berçário,Integral,0
0716605,Berçário,Integral,0
0716606,Berçário,Integral,0
0716607,Berçário,Integral,0
0716608,Berçário,Integral,0
0716609,Berçário,Integral,0
0716613,Berçário,Integral,0
0716614,Berçário,Integral,1
0716801,Berçário,Integral,0
