aluno_anon,opcao,unidade,g,h,bairro_fam,situacao,pontos,irmao,pais_menor18
aluno_0000004,1,0716609,Berçário,Integral,JACAREPAGUA,Lista de espera,0,0,0
aluno_0000004,2,0716812,Berçário,Integral,JACAREPAGUA,Lista de espera,0,0,0
aluno_0000005,1,0724602,Berçário,Integral,ITANHANGA,Confirmado,4,1,0
aluno_0000006,1,08004,Berçário,Integral,BANGU,Lista de espera,53,1,0
aluno_0000006,2,0817602,Berçário,Integral,BANGU,Cancelado na confirmacao,53,1,0
aluno_0000006,3,0817612,Berçário,Parcial,BANGU,Cancelado na confirmacao,53,1,0
aluno_0000006,4,0817607,Berçário,Parcial,BANGU,Cancelado na confirmacao,53,1,0
aluno_0000008,1,0410808,Berçário,Integral,PENHA,Confirmado,53,1,0
aluno_0000008,2,0411601,Berçário,Integral,PENHA,Cancelado pelo sistema,53,1,0
aluno_0000008,3,04022,Berçário,Integral,PENHA,Cancelado pelo sistema,53,1,0
aluno_0000008,4,0411603,Berçário,Integral,PENHA,Cancelado pelo sistema,53,1,0
aluno_0000008,5,0411602,Berçário,Integral,PENHA,Cancelado pelo sistema,53,1,0
aluno_0000009,1,03007,Berçário,Integral,LINS DE VASCONCELOS,Confirmado,62,1,0
aluno_0000011,1,0410808,Berçário,Integral,PENHA,Confirmado,0,0,0
aluno_0000012,1,0330601,Berçário,Integral,INHAUMA,Cancelado pelo sistema,51,0,0
aluno_0000012,2,03019,Berçário,Integral,INHAUMA,Confirmado,51,0,0
aluno_0000013,1,0430815,Berçário,Integral,MARE,Lista de espera,55,0,0
aluno_0000013,2,0430602,Berçário,Integral,MARE,Lista de espera,55,0,0
aluno_0000014,1,06002,Berçário,Integral,BARROS FILHO,Confirmado,55,1,0
aluno_0000015,1,05006,Berçário,Integral,OSWALDO CRUZ,Cancelado pelo sistema,4,0,0
aluno_0000015,1,07038,Berçário,Integral,OSWALDO CRUZ,Confirmado,4,0,0
aluno_0000015,2,0515606,Berçário,Integral,OSWALDO CRUZ,Cancelado pelo sistema,4,0,0
aluno_0000015,3,0515611,Berçário,Integral,OSWALDO CRUZ,Cancelado pelo sistema,4,0,0
aluno_0000015,4,0515809,Berçário,Integral,OSWALDO CRUZ,Cancelado pelo sistema,4,0,0
aluno_0000016,1,04022,Berçário,Integral,PENHA,Lista de espera,0,0,0
aluno_0000017,1,0431605,Berçário,Integral,PAVUNA,Lista de espera,2,0,0
aluno_0000017,2,0431602,Berçário,Integral,PAVUNA,Lista de espera,2,0,0
aluno_0000017,3,04040,Berçário,Integral,PAVUNA,Lista de espera,2,0,0
aluno_0000018,1,03014,Berçário,Integral,INHAUMA,Lista de espera,53,1,0
aluno_0000018,2,03037,Berçário,Integral,INHAUMA,Lista de espera,53,1,0
aluno_0000018,3,03026,Berçário,Integral,INHAUMA,Lista de espera,53,1,0
aluno_0000019,1,04047,Berçário,Integral,RAMOS,Confirmado,7,0,0
aluno_0000020,1,0625604,Berçário,Integral,HONORIO GURGEL,Cancelado,0,0,0
aluno_0000020,1,0515801,Berçário,Integral,HONORIO GURGEL,Cancelado,0,0,0
aluno_0000020,2,06018,Berçário,Integral,HONORIO GURGEL,Cancelado,0,0,0
aluno_0000020,2,05001,Berçário,Integral,HONORIO GURGEL,Cancelado,0,0,0
aluno_0000020,3,05015,Berçário,Integral,HONORIO GURGEL,Cancelado,0,0,0
aluno_0000021,1,0625612,Berçário,Integral,ACARI,Lista de espera,51,0,0
aluno_0000021,2,0625611,Berçário,Integral,ACARI,Lista de espera,51,0,0
aluno_0000021,3,0625615,Berçário,Parcial,ACARI,Cancelado na confirmacao,51,0,0
aluno_0000022,1,10011,Berçário,Integral,SANTA CRUZ,Selecionado,4,0,0
aluno_0000023,1,0515808,Berçário,Integral,MADUREIRA,Cancelado pelo sistema,58,1,0
aluno_0000023,2,0515807,Berçário,Integral,MADUREIRA,Confirmado,58,1,0
aluno_0000024,1,04005,Berçário,Integral,BRAZ DE PINA,Confirmado,0,0,0
aluno_0000025,1,0515808,Berçário,Integral,MADUREIRA,Confirmado,57,1,0
aluno_0000026,1,07014,Berçário,Integral,CIDADE DE DEUS,Lista de espera,4,1,0
aluno_0000026,2,07013,Berçário,Integral,CIDADE DE DEUS,Lista de espera,4,1,0
aluno_0000026,3,0734802,Berçário,Integral,CIDADE DE DEUS,Cancelado na confirmacao,4,1,0
aluno_0000027,1,09044,Berçário,Integral,GUARATIBA,Cancelado,51,0,0
aluno_0000027,1,10084,Berçário,Integral,GUARATIBA,Cancelado na confirmacao,51,0,0
aluno_0000027,1,10084,Berçário,Integral,GUARATIBA,Cancelado pelo sistema,51,0,0
aluno_0000027,2,09028,Berçário,Integral,GUARATIBA,Cancelado pelo sistema,51,0,0
aluno_0000027,2,1026805,Berçário,Integral,GUARATIBA,Cancelado pelo sistema,51,0,0
aluno_0000028,1,03025,Berçário,Integral,ENGENHEIRO LEAL,Cancelado na confirmacao,0,1,0
aluno_0000029,1,1019628,Berçário,Integral,SANTA CRUZ,Confirmado,61,1,0
aluno_0000030,1,0622804,Berçário,Integral,RICARDO DE ALBUQUERQUE,Confirmado,53,1,0
aluno_0000031,1,05006,Berçário,Integral,CAMPINHO,Confirmado,0,1,0
aluno_0000031,1,0716608,Berçário,Integral,CAMPINHO,Cancelado,0,1,0
aluno_0000031,2,0515606,Berçário,Integral,CAMPINHO,Cancelado na confirmacao,0,1,0
aluno_0000031,2,07040,Berçário,Integral,CAMPINHO,Cancelado,0,1,0
aluno_0000031,3,0716809,Berçário,Integral,CAMPINHO,Cancelado,0,1,0
aluno_0000032,1,0724801,Berçário,Integral,RECREIO DOS BANDEIRANTES,Lista de espera,0,0,0
aluno_0000033,1,03025,Berçário,Integral,ENCANTADO,Cancelado pelo sistema,0,0,0
aluno_0000033,2,03014,Berçário,Integral,ENCANTADO,Cancelado pelo sistema,0,0,0
aluno_0000033,3,03006,Berçário,Integral,ENCANTADO,Cancelado pelo sistema,0,0,0
aluno_0000033,4,03001,Berçário,Integral,ENCANTADO,Cancelado pelo sistema,0,0,0
aluno_0000033,5,0313603,Berçário,Integral,ENCANTADO,Confirmado,0,0,0
aluno_0000034,1,08007,Berçário,Integral,BANGU,Cancelado pelo sistema,0,1,0
aluno_0000034,2,08005,Berçário,Integral,BANGU,Cancelado pelo sistema,0,1,0
aluno_0000034,3,0817617,Berçário,Parcial,BANGU,Cancelado pelo sistema,0,1,0
aluno_0000034,4,0817603,Berçário,Integral,BANGU,Confirmado,0,1,0
aluno_0000034,5,0833808,Berçário,Parcial,BANGU,Cancelado pelo sistema,0,1,0
aluno_0000035,1,07040,Berçário,Integral,PRACA SECA,Confirmado,0,0,0
aluno_0000035,2,07038,Berçário,Integral,PRACA SECA,Cancelado pelo sistema,0,0,0
aluno_0000036,1,0312813,Berçário,Integral,ROCHA,Lista de espera,0,0,0
aluno_0000037,1,0817609,Berçário,Parcial,PADRE MIGUEL,Cancelado,53,1,0
aluno_0000037,2,08010,Berçário,Integral,PADRE MIGUEL,Cancelado,53,1,0
aluno_0000037,3,08021,Berçário,Integral,PADRE MIGUEL,Cancelado,53,1,0
aluno_0000037,4,0817804,Berçário,Integral,PADRE MIGUEL,Cancelado,53,1,0
aluno_0000037,5,0833806,Berçário,Parcial,PADRE MIGUEL,Cancelado,53,1,0
aluno_0000038,1,0313802,Berçário,Integral,PILARES,Confirmado,53,1,0
aluno_0000039,1,04024,Berçário,Integral,PENHA,Confirmado,4,0,0
aluno_0000039,2,04029,Berçário,Integral,PENHA,Cancelado pelo sistema,4,0,0
aluno_0000039,3,04022,Berçário,Integral,PENHA,Cancelado pelo sistema,4,0,0
aluno_0000040,1,0328602,Berçário,Integral,JACARE,Lista de espera,53,1,0
aluno_0000040,2,0328801,Berçário,Integral,JACARE,Cancelado,53,1,0
aluno_0000040,3,03025,Berçário,Integral,JACARE,Cancelado na confirmacao,53,1,0
aluno_0000040,4,03026,Berçário,Integral,JACARE,Lista de espera,53,1,0
aluno_0000041,1,0817801,Berçário,Parcial,BANGU,Cancelado pelo sistema,0,0,0
aluno_0000041,2,0817807,Berçário,Parcial,BANGU,Confirmado,0,0,0
aluno_0000041,3,0817603,Berçário,Integral,BANGU,Cancelado pelo sistema,0,0,0
aluno_0000041,4,0817617,Berçário,Parcial,BANGU,Cancelado pelo sistema,0,0,0
aluno_0000042,1,0716822,Berçário,Integral,GARDENIA AZUL,Confirmado,0,1,0
aluno_0000042,2,0716818,Berçário,Integral,GARDENIA AZUL,Cancelado pelo sistema,0,1,0
aluno_0000042,3,0716808,Berçário,Integral,GARDENIA AZUL,Cancelado pelo sistema,0,1,0
aluno_0000042,4,0716819,Berçário,Integral,GARDENIA AZUL,Cancelado pelo sistema,0,1,0
aluno_0000042,5,07020,Berçário,Integral,GARDENIA AZUL,Cancelado pelo sistema,0,1,0
aluno_0000043,1,03037,Berçário,Integral,ENGENHO DA RAINHA,Confirmado,0,0,0
aluno_0000044,1,03037,Berçário,Integral,ENGENHO DA RAINHA,Cancelado pelo sistema,0,0,0
aluno_0000044,2,0312812,Berçário,Integral,ENGENHO DA RAINHA,Confirmado,0,0,0
aluno_0000045,1,02039,Berçário,Integral,SANTA TERESA,Cancelado pelo sistema,55,1,0
aluno_0000045,1,0102605,Berçário,Integral,SANTA TERESA,Cancelado pelo sistema,55,1,0
aluno_0000045,2,0102604,Berçário,Integral,SANTA TERESA,Confirmado,55,1,0
aluno_0000045,2,0204602,Berçário,Integral,SANTA TERESA,Cancelado pelo sistema,55,1,0
aluno_0000045,3,0206606,Berçário,Integral,SANTA TERESA,Cancelado pelo sistema,55,1,0
aluno_0000046,1,04024,Berçário,Integral,OLARIA,Confirmado,0,0,0
aluno_0000046,2,04029,Berçário,Integral,OLARIA,Cancelado pelo sistema,0,0,0
aluno_0000047,1,07015,Berçário,Integral,VARGEM GRANDE,Confirmado,53,1,0
aluno_0000048,1,05012,Berçário,Integral,IRAJA,Confirmado,53,1,0
aluno_0000048,1,04032,Berçário,Integral,IRAJA,Cancelado pelo sistema,53,1,0
aluno_0000048,2,04034,Berçário,Integral,IRAJA,Cancelado pelo sistema,53,1,0
aluno_0000049,1,0206602,Berçário,Integral,VIDIGAL,Cancelado pelo sistema,2,1,0
aluno_0000049,2,0206601,Berçário,Integral,VIDIGAL,Confirmado,2,1,0
aluno_0000049,3,0206605,Berçário,Integral,VIDIGAL,Cancelado pelo sistema,2,1,0
aluno_0000049,4,02004,Berçário,Integral,VIDIGAL,Cancelado pelo sistema,2,1,0
aluno_0000049,5,02003,Berçário,Integral,VIDIGAL,Cancelado pelo sistema,2,1,0
aluno_0000050,1,0625614,Berçário,Integral,PAVUNA,Cancelado pelo sistema,64,1,0
aluno_0000050,2,0625607,Berçário,Integral,PAVUNA,Cancelado pelo sistema,64,1,0
aluno_0000050,3,0625606,Berçário,Integral,PAVUNA,Cancelado na confirmacao,64,1,0
aluno_0000050,4,0625602,Berçário,Integral,PAVUNA,Cancelado pelo sistema,64,1,0
aluno_0000050,5,0625804,Berçário,Integral,PAVUNA,Confirmado,64,1,0
aluno_0000051,1,02010,Berçário,Integral,VILA ISABEL,Confirmado,53,1,0
