unidade,bairro_unid
0123701,SANTA TERESA
0101501,CAJU
0102502,CIDADE NOVA
0102503,CIDADE NOVA
0102504,CIDADE NOVA
0102505,CENTRO
0101601,CAJU
0101602,CAJU
0101603,CAJU
0101604,CAJU
0101605,CAJU
0101606,CAJU
0101607,SANTO CRISTO
0102601,ESTACIO
0102602,CIDADE NOVA
0102604,CENTRO
0102605,CENTRO
0102606,CENTRO
0103601,ESTACIO
0103602,RIO COMPRIDO
0103604,RIO COMPRIDO - TURANO
0103605,RIO COMPRIDO
0103606,RIO COMPRIDO
0103607,ESTACIO
0107601,IMPERIAL DE SAO CRISTOVAO
0107602,SAO CRISTOVAO - TUIUTI
0107603,MANGUEIRA
0107604,MANGUEIRA
0107605,MANGUEIRA - MORRO DOS TELEGRAFOS
0107606,VASCO DA GAMA
0107607,MANGUEIRA
0107608,BENFICA
0107609,IMPERIAL DE SAO CRISTOVAO
0107610,BENFICA
0123601,SANTA TERESA - MORRO DOS PRAZERES
0123603,SANTA TERESA
01004,SANTA TERESA
01005,RIO COMPRIDO
01006,BENFICA
01007,CATUMBI
01009,SANTO CRISTO
01010,IMPERIAL DE SAO CRISTOVAO
01011,PRACA DA BANDEIRA
0101801,CAJU
0101802,SANTO CRISTO
0101803,GAMBOA
0102802,CENTRO
0102803,PRACA ONZE
0103801,RIO COMPRIDO
0103802,CATUMBI
0103804,RIO COMPRIDO
0103805,ESTACIO
0103806,ESTACIO
0103807,CATUMBI
0107801,VASCO DA GAMA
0107802,IMPERIAL DE SAO CRISTOVAO
0107803,IMPERIAL DE SAO CRISTOVAO
0123801,SANTA TERESA
0101001,PRACA MAUA
0101003,SAUDE
0101004,SANTO CRISTO
0101005,SANTO CRISTO
0101006,SANTO CRISTO
0101007,CAJU
0101008,CAJU
0101009,CAJU
0101011,CAJU
0101012,CAJU
0102001,CENTRO
0102002,CENTRO
0102004,CENTRO
0102005,CIDADE NOVA
0102006,BAIRRO DE FATIMA
0102007,CIDADE NOVA
0102501,PRACA ONZE
0103001,CATUMBI
0103003,RIO COMPRIDO
0103004,RIO COMPRIDO
0103005,RIO COMPRIDO
0103006,RIO COMPRIDO
0103501,CATUMBI
0103502,ESTACIO
0107001,IMPERIAL DE SAO CRISTOVAO
0107002,IMPERIAL DE SAO CRISTOVAO
0107003,IMPERIAL DE SAO CRISTOVAO
0107004,IMPERIAL DE SAO CRISTOVAO
0107005,VASCO DA GAMA
0107006,IMPERIAL DE SAO CRISTOVAO
0107007,MANGUEIRA
0107008,IMPERIAL DE SAO CRISTOVAO
0107009,IMPERIAL DE SAO CRISTOVAO
0107011,BENFICA
0107012,BENFICA
0107013,BENFICA
0107016,IMPERIAL DE SAO CRISTOVAO
0107017,BENFICA
0107501,IMPERIAL DE SAO CRISTOVAO
0107502,IMPERIAL DE SAO CRISTOVAO
0121001,PAQUETA
0121002,PAQUETA
0123001,SANTA TERESA
0123002,SANTA TERESA
0123003,SANTA TERESA
0123004,SANTA TERESA
1025041,CIDADE NOVA
0204501,CATETE
0204502,HUMAITA
0206501,IPANEMA
0206502,LEBLON
0208501,TIJUCA
0208502,TIJUCA
0209501,VILA ISABEL
0227501,ROCINHA
0204601,COSME VELHO
0204602,CATETE
0205601,COPACABANA
0205602,COPACABANA - MORRO DOS CABRITOS
0206601,VIDIGAL
0206602,VIDIGAL
0206603,SAO CONRADO
0206605,GAVEA
0206606,IPANEMA
0208601,TIJUCA
0208602,TIJUCA
0208603,TIJUCA
0208604,TIJUCA
0208605,TIJUCA
0208606,TIJUCA
0208607,TIJUCA - COMUNIDADE CHACRINHA
0208608,RIO COMPRIDO
0209601,VILA ISABEL
0209602,TIJUCA - ANDARAI
0209603,ANDARAI - JAMELAO
0209604,GRAJAU - MORRO NOVA DIVINEIA
0209605,ANDARAI
0209606,ANDARAI - MORRO DO ANDARAI
0209607,VILA ISABEL
0209608,VILA ISABEL
0209609,GRAJAU
0209610,VILA ISABEL
0227601,ROCINHA
0227602,ROCINHA
02001,BOREL / TIJUCA
02002,TIJUCA
02003,ROCINHA
02004,ROCINHA
02005,COPACABANA
02006,ROCINHA
02009,TIJUCA
02010,VILA ISABEL
02011,VILA ISABEL
02012,SAO CONRADO
02013,COSME VELHO
02014,COPACABANA
02015,LARANJEIRAS
02016,JARDIM BOTANICO
02018,GAVEA
02019,BOTAFOGO
02022,TURANO / RIO COMPRIDO
02024,ALTO DA BOA VISTA
02025,BOTAFOGO
02026,CATETE
02028,FLAMENGO
02029,BOTAFOGO
02031,ROCINHA
02032,GAVEA
02034,ROCINHA
02035,ROCINHA
02036,ROCINHA
02037,COPACABANA
02038,TIJUCA
02039,COPACABANA
02040,ROCINHA
02041,ROCINHA
02042,LARANJEIRAS
02043,BOREL / TIJUCA
02044,ANDARAI
02045,IPANEMA
02046,GAVEA
02047,ROCINHA
02048,VILA ISABEL
02049,LAGOA
02052,BOTAFOGO
02053,LEBLON
02054,ROCINHA
02055,COPACABANA
02056,VIDIGAL
02057,ALTO DA BOA VISTA
02058,ROCINHA
02060,ROCINHA
02061,COPACABANA
02063,GRAJAU
02064,MARACANA
0204801,BOTAFOGO
0204802,BOTAFOGO
0204803,PRAIA VERMELHA
0204804,LARANJEIRAS
0204805,BOTAFOGO
0204806,LARANJEIRAS
0205801,LEME
0205802,COPACABANA
0206801,LAGOA
0206802,JARDIM BOTANICO
0208801,ALTO BOA VISTA
0208802,TIJUCA
0208803,TIJUCA
0208804,TIJUCA
0208805,ALTO BOA VISTA
0209801,MARACANA
0209802,ANDARAI
0209803,VILA ISABEL
0209804,GRAJAU
0227801,ROCINHA
0204001,GLORIA
0204002,GLORIA
0204003,FLAMENGO
0204004,FLAMENGO
0204005,LARANJEIRAS
0204006,LARANJEIRAS
0204007,LARANJEIRAS
0204008,CATETE
0204009,COSME VELHO
0204010,BOTAFOGO
0204011,BOTAFOGO
0204012,BOTAFOGO
0204014,BOTAFOGO
0204015,BOTAFOGO
0204017,HUMAITA
0204018,URCA
0204019,URCA
0204021,LARANJEIRAS
0205001,LEME
0205003,COPACABANA
0205004,COPACABANA
0205006,COPACABANA
0205007,COPACABANA
0205008,COPACABANA
0205009,COPACABANA
0206001,IPANEMA
0206002,IPANEMA
0206003,IPANEMA
0206004,COPACABANA
0206005,GAVEA
0206006,LEBLON
0206007,LAGOA
0206008,LAGOA
0206010,JARDIM BOTANICO
0206011,JARDIM BOTANICO
0206012,JARDIM BOTANICO
0206014,JARDIM BOTANICO
0206015,GAVEA
0206016,GAVEA
0206017,GAVEA
0206018,GAVEA
0206019,GAVEA
0206020,GAVEA
0206021,VIDIGAL
0206022,SAO CONRADO
0206023,VIDIGAL
0206024,LEBLON
0208001,PRACA DA BANDEIRA
0208002,PRACA DA BANDEIRA
0208003,TIJUCA
0208004,TIJUCA
0208005,TIJUCA
0208006,TIJUCA
0208007,TIJUCA
0208008,TIJUCA
0208009,TIJUCA
0208010,TIJUCA
0208011,TIJUCA
0208012,TIJUCA
0208013,TIJUCA
0208014,TIJUCA
0208016,TIJUCA
0208017,USINA
0208018,ALTO BOA VISTA
0208020,ALTO BOA VISTA
0208021,USINA
0208022,ALTO BOA VISTA
0208023,ALTO BOA VISTA
0209001,MARACANA
0209003,MARACANA
0209004,MARACANA
0209005,VILA ISABEL
0209006,MARACANA
0209007,VILA ISABEL
0209008,VILA ISABEL
0209009,VILA ISABEL
0209010,VILA ISABEL
0209011,GRAJAU
0209012,VILA ISABEL
0209013,VILA ISABEL
0209014,VILA ISABEL
0209016,ANDARAI
0209017,ANDARAI
0209018,ANDARAI
0209019,ANDARAI
0209020,ANDARAI
0209021,ANDARAI
0209023,GRAJAU
0209024,GRAJAU
0209025,GRAJAU
0209026,GRAJAU
0227001,ROCINHA
0227002,ROCINHA
0227004,SAO CONRADO
0227005,ROCINHA
0227006,ROCINHA
0312501,DEL CASTILHO
0312502,DEL CASTILHO
0312503,INHAUMA
0313502,JACARE
0328501,JACAREZINHO
0312601,INHAUMA
0312602,ENGENHO DA RAINHA
0312603,DEL CASTILHO
0313601,PIEDADE
0313602,LINS DE VASCONCELOS
0313603,PIEDADE
0313604,ENGENHO NOVO
0313606,SAMPAIO
0313607,LINS DE VASCONCELOS
0313608,ENGENHO DE DENTRO
0313609,LINS DE VASCONCELOS
0313610,LINS DE VASCONCELOS
0313611,ENGENHO NOVO
0313612,LARGO DO JACARE
0328601,JACAREZINHO
0328602,JACAREZINHO
0328604,JACAREZINHO
0330601,COMPLEXO DO ALEMAO - RAMOS
0330602,BONSUCESSO
03001,ENGENHO DE DENTRO
03002,ROCHA
03003,MEIER
03004,CACHAMBI
03005,MEIER
03006,ENGENHO DE DENTRO
03007,LINS DE VASCONCELOS
03008,RAMOS
